date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-02-18,0,1,0,1,0,3877,0,3877,0,5540233,0,5540233,,,1429.0,1429.0,0.0,1387-11-30
2009-02-22,0,1,1,0,0,1123,1123,0,0,1558724,1558724,0,,1388.0,1388.0,,-1123.0,1387-12-04
2009-04-08,1,0,1,1,601,0,351,250,809547,0,472797,336750,1347.0,1347.0,,1347.0,250.0,1388-01-19
2009-05-25,1,0,2,1,22112,0,7469,14643,29784864,0,10060743,19724121,1347.0,1347.0,,1347.0,14643.0,1388-03-04
2009-06-02,1,1,3,0,5799,100,5899,0,7579293,130700,7709993,0,1307.0,1307.0,1307.0,,-100.0,1388-03-12
2010-04-19,1,1,1,0,5000,12870,17870,0,8000000,21122500,29122500,0,1600.0,1629.6866256295468,1641.2198912198912,,-12870.0,1389-01-30
2010-04-20,0,1,4,0,0,3113,3113,0,0,5063873,5063873,0,,1626.685833601028,1626.685833601028,,-3113.0,1389-01-31
2010-04-21,3,0,1,0,14908,0,14908,0,25149796,0,25149796,0,1687.0,1687.0,,,0.0,1389-02-01
2010-04-27,3,0,1,1,150500,0,6315,144185,254194500,0,10666035,243528465,1689.0,1689.0,,1689.0,144185.0,1389-02-07
2010-04-28,1,0,0,1,29500,0,0,29500,49825500,0,0,49825500,1689.0,,,1689.0,29500.0,1389-02-08
2010-05-02,1,0,1,0,2947,0,2947,0,5009900,0,5009900,0,1700.0,1700.0,,,0.0,1389-02-12
2010-05-04,0,1,1,0,0,50000,50000,0,0,82500000,82500000,0,,1650.0,1650.0,,-50000.0,1389-02-14
2010-05-15,0,1,0,1,0,50000,0,50000,0,82500000,0,82500000,,,1650.0,1650.0,0.0,1389-02-25
2010-05-16,2,0,1,0,3216,0,3216,0,5123088,0,5123088,0,1593.0,1593.0,,,0.0,1389-02-26
2010-05-23,0,1,0,1,0,2500,0,2500,0,5000000,0,5000000,,,2000.0,2000.0,0.0,1389-03-02
2010-05-25,2,0,1,0,5248,0,5248,0,10128640,0,10128640,0,1930.0,1930.0,,,0.0,1389-03-04
2010-05-26,1,0,1,0,2200,0,2200,0,4246000,0,4246000,0,1930.0,1930.0,,,0.0,1389-03-05
2010-06-02,3,0,2,0,4990,0,4990,0,9634200,0,9634200,0,1930.7014028056112,1930.7014028056112,,,0.0,1389-03-12
2010-07-17,1,1,1,0,3108,358,3466,0,4972800,572800,5545600,0,1600.0,1600.0,1600.0,,-358.0,1389-04-26
2010-08-01,1,0,1,0,150,0,150,0,230250,0,230250,0,1535.0,1535.0,,,0.0,1389-05-10
2010-08-09,2,0,1,0,9045,0,9045,0,14472000,0,14472000,0,1600.0,1600.0,,,0.0,1389-05-18
2010-08-11,6,1,0,1,44871,11000,0,55871,69599310,16885000,0,86484310,1551.0978137327004,,1535.0,1547.9284423045945,44871.0,1389-05-20
2010-08-14,2,0,0,1,9000,0,0,9000,13782000,0,0,13782000,1531.3333333333333,,,1531.3333333333333,9000.0,1389-05-23
2010-08-17,7,0,4,1,127007,0,76200,50807,210176585,0,126091000,84085585,1654.8425283645784,1654.737532808399,,1655.0,50807.0,1389-05-26
2010-08-18,9,2,2,1,333488,99193,83488,349193,557258401,164964415,139508401,582714415,1670.9998590653936,1670.9994370448449,1663.0650852378697,1668.7459800167817,250000.0,1389-05-27
2010-08-21,10,2,4,2,268874,550000,62240,756634,463269902,947630000,107219520,1303680382,1723.0,1722.6786632390745,1722.9636363636364,1723.0,206634.0,1389-05-30
2010-08-22,8,0,2,1,455000,0,55000,400000,814905000,0,98505000,716400000,1791.0,1791.0,,1791.0,400000.0,1389-05-31
2010-08-23,21,0,1,1,533200,0,5000,528200,987486400,0,9260000,978226400,1852.0,1852.0,,1852.0,528200.0,1389-06-01
2010-08-24,17,1,1,1,255000,50000,5000,300000,491130000,96300000,9630000,577800000,1926.0,1926.0,1926.0,1926.0,250000.0,1389-06-02
2010-08-25,9,0,1,1,206316,0,6316,200000,406236204,0,12436204,393800000,1969.0,1969.0,,1969.0,200000.0,1389-06-03
2010-08-28,1,0,2,0,400,0,400,0,799600,0,799600,0,1999.0,1999.0,,,0.0,1389-06-06
2010-08-29,9,1,0,1,199600,100400,0,300000,399000400,200699600,0,599700000,1999.0,,1999.0,1999.0,199600.0,1389-06-07
2010-08-30,15,0,17,1,543200,0,246027,297173,1110300800,0,502879188,607421612,2044.0,2044.0,,2044.0,297173.0,1389-06-08
2010-08-31,49,3,49,1,1351858,796138,1997996,150000,2826836220,1638684762,4146770982,318750000,2091.074817029599,2075.4651070372515,2058.2923588624085,2125.0,-646138.0,1389-06-09
2010-09-04,22,2,21,1,424717,140000,428179,136538,917551154,302680000,925035998,295195156,2160.382452315306,2160.3955308410737,2162.0,2162.0,-3462.0,1389-06-13
2010-09-05,12,1,15,0,266502,92345,358847,0,557112722,191615875,748728597,0,2090.463568753705,2086.4842035742254,2075.0,,-92345.0,1389-06-14
2010-09-06,7,0,4,0,39688,0,39688,0,80678300,0,80678300,0,2032.813444869986,2032.813444869986,,,0.0,1389-06-15
2010-09-07,1,1,5,0,10000,43000,53000,0,20550000,88293000,108843000,0,2055.0,2053.6415094339623,2053.3255813953488,,-43000.0,1389-06-16
2010-09-08,2,2,5,0,7140,60000,67140,0,14775500,124576000,139351500,0,2069.3977591036414,2075.5361930294907,2076.266666666667,,-60000.0,1389-06-17
2010-09-12,7,1,7,0,118821,12159,130980,0,246890844,25533900,272424744,0,2077.8384628979725,2079.895739807604,2100.0,,-12159.0,1389-06-21
2010-09-13,9,0,8,0,59317,0,59317,0,123664104,0,123664104,0,2084.8003776320447,2084.8003776320447,,,0.0,1389-06-22
2010-09-14,5,0,5,0,59285,0,59285,0,119497545,0,119497545,0,2015.645525849709,2015.645525849709,,,0.0,1389-06-23
2010-09-15,2,0,2,0,15000,0,15000,0,30015000,0,30015000,0,2001.0,2001.0,,,0.0,1389-06-24
2010-09-18,2,0,4,0,24500,0,24500,0,49675232,0,49675232,0,2027.5604897959183,2027.5604897959183,,,0.0,1389-06-27
2010-09-19,2,0,4,0,35550,0,35550,0,71039450,0,71039450,0,1998.29676511955,1998.29676511955,,,0.0,1389-06-28
2010-09-20,2,0,3,0,26243,0,26243,0,52276056,0,52276056,0,1992.0,1992.0,,,0.0,1389-06-29
2010-09-21,5,1,2,0,30669,2000,32669,0,61746450,4100000,65846450,0,2013.3180084124035,2015.563684226637,2050.0,,-2000.0,1389-06-30
2010-09-25,1,0,2,0,30000,0,30000,0,59700000,0,59700000,0,1990.0,1990.0,,,0.0,1389-07-03
2010-09-26,2,0,3,0,15022,0,15022,0,29758582,0,29758582,0,1981.0,1981.0,,,0.0,1389-07-04
2010-09-27,1,1,2,0,5404,10000,15404,0,10705324,19790000,30495324,0,1981.0,1979.701635938717,1979.0,,-10000.0,1389-07-05
2010-09-28,2,1,3,0,15060,10000,25060,0,29803620,19770000,49573620,0,1978.9920318725096,1978.197126895451,1977.0,,-10000.0,1389-07-06
2010-09-29,2,0,1,0,9680,0,9680,0,19142360,0,19142360,0,1977.51652892562,1977.51652892562,,,0.0,1389-07-07
2010-10-02,1,1,2,0,1760,5000,6760,0,3471219,9860000,13331219,0,1972.2835227272728,1972.0738165680475,1972.0,,-5000.0,1389-07-10
2010-10-03,2,0,1,0,11900,0,11900,0,23454900,0,23454900,0,1971.0,1971.0,,,0.0,1389-07-11
2010-10-05,2,0,2,0,9235,0,9235,0,18269991,0,18269991,0,1978.34228478614,1978.34228478614,,,0.0,1389-07-13
2010-11-24,0,1,1,0,0,1000,1000,0,0,1968000,1968000,0,,1968.0,1968.0,,-1000.0,1389-09-03
2010-12-08,0,1,1,0,0,5000,5000,0,0,9840000,9840000,0,,1968.0,1968.0,,-5000.0,1389-09-17
2010-12-11,0,1,1,0,0,1000,1000,0,0,1968000,1968000,0,,1968.0,1968.0,,-1000.0,1389-09-20
2010-12-26,1,0,1,0,1766,0,1766,0,3475488,0,3475488,0,1968.0,1968.0,,,0.0,1389-10-05
2011-01-01,1,0,1,0,1000,0,1000,0,1968000,0,1968000,0,1968.0,1968.0,,,0.0,1389-10-11
2011-01-04,0,1,1,0,0,1000,1000,0,0,1968000,1968000,0,,1968.0,1968.0,,-1000.0,1389-10-14
2011-01-24,1,0,1,0,2000,0,2000,0,3936000,0,3936000,0,1968.0,1968.0,,,0.0,1389-11-04
