,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
95,2015-11-08,12,1,5,0,33157,30000,63157,0,82756765,80700000,163456765,0,2495.9062942968303,2588.102110613234,2690.0,,-30000.0,1394-08-17
94,2015-11-09,13,0,8,0,92972,0,92972,0,216624760,0,216624760,0,2330.0,2330.0,,,0.0,1394-08-18
93,2015-11-10,53,1,42,2,552063,100000,439538,212525,1165303327,209700000,928336746,446666581,2110.8158434816314,2112.0739185235407,2097.0,2101.7131208093165,112525.0,1394-08-19
92,2015-11-11,10,0,9,1,19539,0,13569,5970,41007059,0,28470059,12537000,2098.7286452735552,2098.169282924313,,2100.0,5970.0,1394-08-20
91,2015-11-14,13,0,14,0,99117,0,99117,0,202710035,0,202710035,0,2045.1591048962337,2045.1591048962337,,,0.0,1394-08-23
90,2015-11-15,14,0,9,0,62574,0,62574,0,119620873,0,119620873,0,1911.6705500687187,1911.6705500687187,,,0.0,1394-08-24
89,2015-11-16,15,0,10,2,180685,0,85211,95474,339532996,0,159731384,179801612,1879.1432382322828,1874.5394843388765,,1883.2521105222363,95474.0,1394-08-25
88,2015-11-17,28,0,16,1,475409,0,146717,328692,895960667,0,275638567,620322100,1884.6102345559295,1878.70912709502,,1887.2442894868143,328692.0,1394-08-26
87,2015-11-18,37,1,41,2,798628,150000,449600,499028,1634461390,310710664,920285274,1024886780,2046.586633576584,2046.8978514234875,2071.4044266666665,2053.7660812619733,349028.0,1394-08-27
86,2015-11-21,34,0,28,0,811050,0,811050,0,1691370605,0,1691370605,0,2085.4085506442266,2085.4085506442266,,,0.0,1394-08-30
85,2015-12-07,27,1,25,0,238100,121100,359200,0,454935904,241984572,696920476,0,1910.692582948341,1940.201770601336,1998.221073492981,,-121100.0,1394-09-16
84,2015-12-08,27,0,21,0,198913,0,198913,0,352108308,0,352108308,0,1770.1623724945075,1770.1623724945075,,,0.0,1394-09-17
83,2015-12-09,21,0,16,0,268128,0,268128,0,455644380,0,455644380,0,1699.353965270319,1699.353965270319,,,0.0,1394-09-18
82,2015-12-13,27,0,15,0,153407,0,153407,0,238792137,0,238792137,0,1556.5921828860482,1556.5921828860482,,,0.0,1394-09-22
81,2015-12-14,21,0,19,1,219488,0,144488,75000,351405356,0,232035956,119369400,1601.0230901005978,1605.9185261059745,,1591.592,75000.0,1394-09-23
80,2015-12-15,11,1,12,0,62264,11000,73264,0,99692542,18029650,117722192,0,1601.1265257612745,1606.82179515178,1639.0590909090909,,-11000.0,1394-09-24
79,2015-12-16,9,1,12,0,64336,3000,67336,0,104102726,4903400,109006126,0,1618.110016165133,1618.8387489604372,1634.4666666666667,,-3000.0,1394-09-25
78,2015-12-19,8,1,18,0,46028,149532,195560,0,73923946,241726351,315650297,0,1606.0646997479796,1614.0841532010636,1616.552650937592,,-149532.0,1394-09-28
77,2015-12-20,7,1,22,0,42075,84640,126715,0,67879723,138564460,206444183,0,1613.3029827688651,1629.2008286311802,1637.1037334593573,,-84640.0,1394-09-29
76,2015-12-21,19,1,37,1,142604,396944,483995,55553,251422004,691380171,843306752,99495423,1763.078202574963,1742.3873221830804,1741.7574544520137,1791.0,-341391.0,1394-09-30
75,2015-12-22,12,1,11,0,67388,10200,77588,0,126280229,19279225,145559454,0,1873.92753902772,1876.05627158839,1890.120098039216,,-10200.0,1394-10-01
74,2015-12-23,15,1,11,1,53551,4500,58026,25,96990076,8323500,105268826,44750,1811.172078952774,1814.1665115637816,1849.6666666666667,1790.0,-4475.0,1394-10-02
73,2015-12-26,17,1,10,0,71650,3000,74650,0,123435812,5366500,128802312,0,1722.7608094905793,1725.4161018084394,1788.8333333333333,,-3000.0,1394-10-05
72,2015-12-27,40,1,17,0,420378,2600,422978,0,684843508,4315600,689159108,0,1629.1135787315227,1629.3024885455036,1659.8461538461538,,-2600.0,1394-10-06
71,2015-12-28,49,0,14,0,529393,0,529393,0,807668261,0,807668261,0,1525.649679916433,1525.649679916433,,,0.0,1394-10-07
70,2015-12-30,74,0,35,1,1208414,0,1047204,161210,1678241753,0,1451804645,226437108,1388.7970124477208,1386.36277649818,,1404.6095651634514,161210.0,1394-10-09
69,2016-01-02,40,0,21,1,567206,0,345916,221290,761594157,0,459881375,301712782,1342.7117431762006,1329.4596809630084,,1363.4270956663202,221290.0,1394-10-12
68,2016-06-18,14,2,0,1,3824847,6195500,0,10020347,6694559772,10842125000,0,17536684772,1750.281716366694,,1750.0,1750.1075334017874,3824847.0,1395-03-29
67,2016-06-19,25,2,0,1,2411640,11596495,0,14008135,4220370000,20293866250,0,24514236250,1750.0,,1750.0,1750.0,2411640.0,1395-03-30
66,2020-05-04,438,2,382,0,6437146,2050000,8487146,0,104825265370,32969700000,137794965370,0,16284.43185380602,16235.724632285104,16082.780487804876,,-2050000.0,1399-02-15
65,2020-05-05,2347,17,1642,7,34386930,1384950,33484808,2287072,523786574663,21884950156,510173464225,35498060594,15232.141242704714,15235.968031383069,15801.978523412396,15521.18192780988,902122.0,1399-02-16
64,2020-05-06,1502,11,959,1,21079286,1921287,21229145,1771428,306642825892,27727631728,308537307618,25833150002,14547.116344073514,14533.666222450316,14431.80104169757,14583.234544107918,-149859.0,1399-02-17
63,2020-05-09,762,1,1079,3,16225779,200000,14658444,1767335,255266642340,3070000000,230256783294,28079859046,15732.165607580382,15708.132684069333,15350.0,15888.249282677025,1567335.0,1399-02-20
62,2020-05-10,1650,0,1104,7,23804147,0,21773399,2030748,405227443512,0,370849197288,34378246224,17023.39695314434,17032.214276144943,,16928.85883625147,2030748.0,1399-02-21
61,2020-05-11,153,0,163,1,1382574,0,1378346,4228,23814280145,0,23742108185,72171960,17224.597124638538,17225.071342754287,,17070.0,4228.0,1399-02-22
60,2020-05-16,869,8,646,1,9515262,5826063,15291325,50000,133314647049,81369281440,213981237870,702690619,14010.612324600206,13993.636121788008,13966.426631500552,14053.81238,-5776063.0,1399-02-27
59,2020-05-17,708,3,715,1,10309659,145501,10085160,370000,139687789900,1966696688,136720649930,4933836658,13549.215342621905,13556.616843956865,13516.72282664724,13334.69367027027,224499.0,1399-02-28
58,2020-05-18,753,18,867,6,15724365,486600,14998107,1212858,232221136910,7251492000,221695074155,17777554755,14768.236231478984,14781.53704030782,14902.36744759556,14657.573067086172,726258.0,1399-02-29
57,2020-05-19,1138,1,1155,9,25629451,475000,23747450,2357001,411611946057,7508010821,381196042978,37923913900,16060.115609070206,16052.083191163683,15806.338570526315,16089.901489222955,1882001.0,1399-02-30
56,2020-05-20,1267,4,1238,19,16693244,3298731,18152518,1839457,271746858317,53817034546,296878242544,28685650319,16278.852589526638,16354.659036503916,16314.46594038738,15594.62945804115,-1459274.0,1399-02-31
55,2020-05-23,655,5,393,1,7545321,3650423,11143287,52457,112376848901,55266062225,166854262801,788648325,14893.580922667174,14973.522875341898,15139.63237274146,15034.186571858856,-3597966.0,1399-03-03
54,2020-05-26,225,0,31,0,1085807,0,1085807,0,14633420939,0,14633420939,0,13477.0,13477.0,,,0.0,1399-03-06
53,2020-05-27,929,4,851,1,19191665,1065000,19956665,300000,251095937060,13884402675,261074686845,3905652890,13083.593167137922,13082.079938957737,13036.997816901408,13018.842966666669,-765000.0,1399-03-07
52,2020-05-30,417,2,469,4,7413109,519041,7172014,760136,106056114862,7434782545,102553342512,10937554895,14306.563529822644,14299.099599080537,14324.075641423316,14388.944734889546,241095.0,1399-03-10
51,2020-06-01,842,30,820,6,13256835,1203386,14241863,218358,203852519237,18248687670,218698217875,3402989032,15377.163496188949,15356.01191185451,15164.450699941664,15584.44862107182,-985028.0,1399-03-12
50,2020-06-02,1090,9,920,2,16187435,2428803,17359408,1256830,237923940009,36326653270,255843082633,18407510646,14698.063035249254,14738.007346391076,14956.607542892529,14645.982866417891,-1171973.0,1399-03-13
49,2020-06-06,755,19,1483,6,21712796,3590000,23887481,1415315,343087251948,55924626103,376564510419,22447367632,15801.154855781817,15764.094607505916,15577.890279387186,15860.333305306593,-2174685.0,1399-03-17
48,2020-06-07,1343,1,983,11,15495891,10000,13053710,2452181,266130639325,172300000,223855342276,42447597049,17174.271510105486,17148.790824677428,17230.0,17310.1402584067,2442181.0,1399-03-18
47,2020-06-08,1263,1,1123,2,20844629,100000,19645664,1298965,350796401942,1672625942,330727659822,21741368062,16829.102688371186,16834.638921952446,16726.25942,16737.454867529148,1198965.0,1399-03-19
46,2020-06-09,1037,3,1139,3,16156409,689486,15916468,929427,282946190369,12016779773,278611839124,16351131018,17512.93807732894,17504.627227849796,17428.605907879202,17592.70068332424,239941.0,1399-03-20
45,2020-06-10,870,3,931,3,11884268,980000,11481104,1383164,227198924532,18702824446,219494893502,26406855476,19117.620414820667,19117.92572404187,19084.514740816325,19091.63011472248,403164.0,1399-03-21
44,2020-06-13,568,3,552,3,8257493,700000,8606993,350500,173037705890,14714000000,180407195890,7344510000,20955.23494721703,20960.53707607291,21020.0,20954.37945791726,-349500.0,1399-03-24
