date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,11,2,13,1,52155,10010,62155,10,363273968,69609630,432813968,69630,6965.275965870962,6963.461797120103,6954.008991008991,6963.0,-10000.0,1387-09-06
2008-11-29,15,2,16,2,48468,3810,41328,10950,346835430,27305025,295627155,78513300,7155.967442436247,7153.192871660859,7166.673228346457,7170.164383561644,7140.0,1387-09-09
2008-11-30,8,2,7,1,24158,1852,26000,10,169339068,12964080,182233068,70080,7009.647652951403,7008.964153846154,7000.043196544277,7008.0,-1842.0,1387-09-10
2008-12-01,5,2,18,1,16843,50010,66843,10,114628020,339967990,454528020,67990,6805.677135902155,6799.934473318073,6798.000199960008,6799.0,-50000.0,1387-09-11
2008-12-02,5,1,7,1,14077,50000,39077,25000,92872600,329800000,257763673,164908927,6597.471052070754,6596.301481689997,6596.0,6596.35708,-25000.0,1387-09-12
2008-12-03,0,2,2,0,0,20000,20000,0,0,127980000,127980000,0,,6399.0,6399.0,,-20000.0,1387-09-13
2008-12-06,2,0,3,0,2115,0,2115,0,13129920,0,13129920,0,6208.0,6208.0,,,0.0,1387-09-16
2008-12-07,1,0,1,0,800,0,800,0,4950400,0,4950400,0,6188.0,6188.0,,,0.0,1387-09-17
2008-12-08,3,1,5,0,2126,10000,12126,0,13138680,61800000,74938680,0,6180.0,6180.0,6180.0,,-10000.0,1387-09-18
2008-12-16,1,0,1,0,600,0,600,0,3640800,0,3640800,0,6068.0,6068.0,,,0.0,1387-09-26
2008-12-20,2,0,0,1,1639,0,0,1639,9935618,0,0,9935618,6062.0,,,6062.0,1639.0,1387-09-30
2008-12-21,2,0,1,0,3645,0,3645,0,22041315,0,22041315,0,6047.0,6047.0,,,0.0,1387-10-01
2008-12-22,3,0,1,0,4092,0,4092,0,24609288,0,24609288,0,6014.0,6014.0,,,0.0,1387-10-02
2008-12-23,25,0,25,1,163434,0,153434,10000,1008273364,0,948493364,59780000,6169.29992535213,6181.767821995125,,5978.0,10000.0,1387-10-03
2008-12-24,6,0,1,1,20131,0,8131,12000,127912374,0,51664374,76248000,6354.0,6354.0,,6354.0,12000.0,1387-10-04
2008-12-27,12,1,8,1,46308,1000,45938,1370,302979272,6544000,300618272,8905000,6542.698281074544,6544.0,6544.0,6500.0,370.0,1387-10-07
2008-12-28,12,0,4,0,42235,0,42235,0,270031164,0,270031164,0,6393.540049721794,6393.540049721794,,,0.0,1387-10-08
2008-12-29,5,0,7,1,23484,0,13484,10000,147937390,0,85427390,62510000,6299.497104411515,6335.463512310887,,6251.0,10000.0,1387-10-09
2008-12-30,1,0,2,0,700,0,700,0,4287700,0,4287700,0,6125.285714285715,6125.285714285715,,,0.0,1387-10-10
2008-12-31,1,0,1,0,651,0,651,0,3974355,0,3974355,0,6105.0,6105.0,,,0.0,1387-10-11
2009-01-03,1,0,1,0,1000,0,1000,0,6099000,0,6099000,0,6099.0,6099.0,,,0.0,1387-10-14
2009-01-04,1,0,1,0,3267,0,3267,0,19896030,0,19896030,0,6090.0,6090.0,,,0.0,1387-10-15
2009-01-05,2,1,0,1,3000,3000,0,6000,18180000,18180000,0,36360000,6060.0,,6060.0,6060.0,3000.0,1387-10-16
2009-01-10,9,0,10,1,37545,0,35684,1861,227819238,0,216485748,11333490,6067.898202157411,6066.7455442215,,6090.0,1861.0,1387-10-21
2009-01-11,11,1,5,1,38047,10000,25080,22967,226548010,60000000,150921470,135626540,5954.425053223645,6017.602472089314,6000.0,5905.278878390735,12967.0,1387-10-22
2009-01-12,10,1,3,0,23516,10000,33516,0,139124423,57860000,196984423,0,5916.16018880762,5877.324949277957,5786.0,,-10000.0,1387-10-23
2009-01-13,9,0,3,0,33291,0,33291,0,189891991,0,189891991,0,5704.003814844853,5704.003814844853,,,0.0,1387-10-24
2009-01-14,5,0,3,0,5669,0,5669,0,31366577,0,31366577,0,5533.0,5533.0,,,0.0,1387-10-25
2009-01-17,1,1,3,0,500,19500,20000,0,2743500,106996500,109740000,0,5487.0,5487.0,5487.0,,-19500.0,1387-10-28
2009-01-18,12,0,3,0,33942,0,33942,0,180673266,0,180673266,0,5323.0,5323.0,,,0.0,1387-10-29
2009-01-19,31,0,14,0,150346,0,150346,0,804731280,0,804731280,0,5352.528700464262,5352.528700464262,,,0.0,1387-10-30
2009-01-20,1,0,0,1,93,0,0,93,512709,0,0,512709,5513.0,,,5513.0,93.0,1387-11-01
2009-01-21,1,0,0,1,5000,0,0,5000,27570000,0,0,27570000,5514.0,,,5514.0,5000.0,1387-11-02
2009-01-24,2,0,1,0,4000,0,4000,0,22220000,0,22220000,0,5555.0,5555.0,,,0.0,1387-11-05
2009-01-25,34,2,20,0,116766,28900,145666,0,650970109,160825295,811795404,0,5574.997079629344,5572.991665865748,5564.88910034602,,-28900.0,1387-11-06
2009-01-26,11,1,18,0,86807,15000,101807,0,496604643,85265000,581869643,0,5720.790293409517,5715.418812065968,5684.333333333333,,-15000.0,1387-11-07
2009-01-27,1,0,1,0,4000,0,4000,0,22212000,0,22212000,0,5553.0,5553.0,,,0.0,1387-11-08
2009-01-28,6,0,9,1,26130,0,23664,2466,146385690,0,132566226,13819464,5602.207807118255,5602.0210446247465,,5604.0,2466.0,1387-11-09
2009-01-31,6,0,4,0,11432,0,11432,0,64305098,0,64305098,0,5625.008572428272,5625.008572428272,,,0.0,1387-11-12
2009-02-01,5,2,7,0,4347,3800,8147,0,24420900,21244000,45664900,0,5617.874396135266,5605.118448508653,5590.526315789473,,-3800.0,1387-11-13
2009-02-02,3,2,3,1,4238,20000,9508,14730,23605698,111460000,52978989,82086709,5570.0089664936295,5572.043437105595,5573.0,5572.756890699253,-5270.0,1387-11-14
2009-02-03,0,1,2,0,0,3680,3680,0,0,20180315,20180315,0,,5483.78125,5483.78125,,-3680.0,1387-11-15
2009-02-04,5,0,6,1,17575,0,7175,10400,98281685,0,40519685,57762000,5592.130014224751,5647.342857142857,,5554.038461538462,10400.0,1387-11-16
2009-02-07,7,2,9,0,22901,20000,42901,0,125237611,109410000,234647611,0,5468.652504257456,5469.513787557399,5470.5,,-20000.0,1387-11-19
2009-02-08,4,1,2,1,6895,15774,22442,227,37806830,86462858,123025047,1244641,5483.224075416969,5481.911015061046,5481.352732344364,5483.0,-15547.0,1387-11-20
2009-02-09,4,0,6,0,13768,0,13768,0,74634060,0,74634060,0,5420.835270191749,5420.835270191749,,,0.0,1387-11-21
2009-02-11,6,0,7,0,10112,0,10112,0,54990816,0,54990816,0,5438.174050632912,5438.174050632912,,,0.0,1387-11-23
2009-02-14,11,1,6,1,57627,8620,60843,5404,313187002,46996240,330726634,29456608,5434.726812084613,5435.73844156271,5452.0,5450.889711324944,-3216.0,1387-11-26
2009-02-15,7,0,12,0,22372,0,22372,0,120617124,0,120617124,0,5391.432326121938,5391.432326121938,,,0.0,1387-11-27
2009-02-17,7,1,8,0,33094,10000,43094,0,176826080,53760000,230586080,0,5343.146189641627,5350.769944771894,5376.0,,-10000.0,1387-11-29
2009-02-21,4,0,3,0,12926,0,12926,0,66040674,0,66040674,0,5109.134612409098,5109.134612409098,,,0.0,1387-12-03
2009-02-22,4,1,11,0,9370,21322,30692,0,48639325,109535670,158174995,0,5190.96318036286,5153.622931056953,5137.213676015384,,-21322.0,1387-12-04
2009-02-23,6,0,5,0,13250,0,13250,0,69227970,0,69227970,0,5224.752452830188,5224.752452830188,,,0.0,1387-12-05
2009-02-25,2,0,2,0,1269,0,1269,0,6514426,0,6514426,0,5133.511426319937,5133.511426319937,,,0.0,1387-12-07
