date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-22,4907,5,2665,9,68942468,3412608,53752033,18603043,855689757760,42145708800,667992885510,229842581050,12411.649634590976,12427.304573019592,12350.0,12355.106691416022,15190435.0,1399-05-01
2020-07-25,7384,8,2759,1,55143327,3423082,58466409,100000,650139825330,40358136780,689318962110,1179000000,11790.0,11790.0,11790.0,11790.0,-3323082.0,1399-05-04
2020-07-26,2407,3,187,1,12112200,1858000,13270200,700000,135777762000,20828180000,148758942000,7847000000,11210.0,11210.0,11210.0,11210.0,-1158000.0,1399-05-05
2020-07-27,8899,18,12251,7,155346135,44768687,197727164,2387658,1667832163930,480279174450,2122285597600,25825740780,10736.232117586962,10733.404326782333,10728.015642942575,10816.348396629668,-42381029.0,1399-05-06
2020-07-28,8065,7,3917,9,155369864,11488196,126721750,40136310,1749158757030,129356347660,1426609759320,451905345370,11258.031074996628,11257.8129588646,11259.93564698931,11259.26487437435,28648114.0,1399-05-07
2020-07-29,10254,7,7091,8,96866729,486959,94826761,2526927,1080588404220,5381576910,1056822176690,29147804440,11155.41337438988,11144.767210703316,11051.396339322202,11534.881870350826,2039968.0,1399-05-08
2020-08-01,8515,8,5654,6,108460606,1184020,105288787,4355839,1250736058580,13400997400,1213360334400,50776721580,11531.708190713964,11524.117325048108,11318.218780088177,11657.162163247998,3171819.0,1399-05-11
2020-08-02,14584,14,7242,12,135623286,11198319,138625295,8196310,1496710834060,123347307270,1530018613420,90039527910,11035.795387379128,11037.081027816748,11014.805639132088,10985.37365106981,-3002009.0,1399-05-12
2020-08-03,7732,12,8213,3,92714806,6645352,98793864,566294,1026752382910,74165258130,1094620022360,6297618680,11074.308702215263,11079.83814015008,11160.47097730865,11120.75826337556,-6079058.0,1399-05-13
2020-08-04,9682,14,9190,7,118330240,21913519,135986185,4257574,1262264929570,233955714990,1451067607100,45153037460,10667.306426235593,10670.698697077209,10676.318805300052,10605.34413729509,-17655945.0,1399-05-14
2020-08-05,5971,7,7341,12,96829655,3178529,90096714,9911470,1080633478180,35549999540,1005205246870,110978230850,11160.150040604813,11156.957920463115,11184.418811343234,11196.94968052166,6732941.0,1399-05-15
2020-08-09,9838,10,6476,5,92432185,11670000,103322441,779744,990597020720,124137126680,1106110463560,8623683840,10717.014000264086,10705.423263858042,10637.285919451586,11059.634751918578,-10890256.0,1399-05-19
2020-08-10,3756,4,2049,3,27516529,3300000,30515877,300652,282716660090,33611000000,313225022730,3102637360,10274.430328403703,10264.32970384564,10185.151515151516,10319.696393172171,-2999348.0,1399-05-20
2020-08-11,2132,1,299,0,9930718,1000000,10930718,0,96824500500,9750000000,106574500500,0,9750.0,9750.0,9750.0,,-1000000.0,1399-05-21
2020-09-01,607,2,27,0,5319815,505150,5824965,0,51495809200,4889852000,56385661200,0,9680.0,9680.0,9680.0,,-505150.0,1399-06-11
2020-09-02,662,5,79,3,3523652,2359330,5577905,305077,32417598400,21705836000,51316726000,2806708400,9200.0,9200.0,9200.0,9200.0,-2054253.0,1399-06-12
2020-09-05,4347,15,7952,19,136410571,27995979,157600153,6806397,1238456123770,248748097950,1423466470850,63737750870,9078.886736497863,9032.138889167196,8885.136610153908,9364.389245881484,-21189582.0,1399-06-15
2020-09-06,2981,10,4107,12,139506809,17634085,145090604,12050290,1323840725940,167484863810,1376912896550,114412693200,9489.434497351309,9490.021121905316,9497.791567297085,9494.600810436928,-5583795.0,1399-06-16
2020-09-07,5581,15,6626,7,159951781,11385171,168804350,2532602,1471024300940,104138086450,1551141003080,24021384310,9196.673470863072,9188.987150390378,9146.817948540254,9484.863515862342,-8852569.0,1399-06-17
2020-09-08,1939,8,1420,2,32512693,2296070,34258763,550000,288396888280,20118100020,303677250020,4837738280,8870.286084268688,8864.221105122797,8761.971551389985,8795.887781818183,-1746070.0,1399-06-18
2020-09-09,3349,8,6182,14,138034555,3937084,116292435,25679204,1269871507810,35480221830,1066586844480,238764885160,9199.6638653995,9171.592670494862,9011.802092614736,9297.986228856627,21742120.0,1399-06-19
2020-09-12,4027,3,2141,7,101149388,5009921,101481245,4678064,972988096150,48275759370,976182818560,45081036960,9619.317678422334,9619.342160810109,9636.03205918816,9636.686663542869,-331857.0,1399-06-22
2020-09-13,7618,8,6058,12,187185450,2721000,177416314,12490136,1857660481780,26987294210,1758614285770,126033490220,9924.171359365806,9912.3595013365,9918.15296214627,10090.641944971616,9769136.0,1399-06-23
2020-09-14,4411,6,3078,9,64767362,591521,51763823,13595060,668367861030,5958586260,534386576230,139939871060,10319.51650323507,10323.553116044,10073.330042382266,10293.43534048397,13003539.0,1399-06-24
2020-09-15,3207,1,1474,7,40473679,500,32074179,8400000,438196858890,5415000,347241273890,90961000000,10826.71182152727,10826.19367716318,10830.0,10828.690476190475,8399500.0,1399-06-25
2020-09-16,6149,8,5633,14,112657010,2937025,97215235,18378800,1278206094970,33390067840,1102633559170,208962603640,11345.99697764036,11342.188898375856,11368.669943224862,11369.76318584456,15441775.0,1399-06-26
2020-09-19,8351,15,9854,9,151241488,15406963,140864077,25784374,1772834725030,180541106880,1646877133270,306498698640,11721.881002850225,11691.24995061729,11718.150220780046,11886.993984806457,10377411.0,1399-06-29
2020-09-20,2269,9,1622,1,28391318,2505377,30891880,4815,318858115970,28271366760,347075843630,53639100,11230.831762371865,11235.18036552,11284.276482142208,11140.0,-2500562.0,1399-06-30
2020-09-21,492,3,66,0,2686858,3100000,5786858,0,28695643440,33108000000,61803643440,0,10680.0,10680.0,10680.0,,-3100000.0,1399-06-31
2020-09-22,672,3,53,0,4421246,1075000,5496246,0,44875646900,10911250000,55786896900,0,10150.0,10150.0,10150.0,,-1075000.0,1399-07-01
2020-09-23,7058,7,5124,4,168681981,3386000,170457110,1610871,1664991524490,32793400000,1682030176610,15754747880,9870.595037000425,9867.761905678208,9684.99704666273,9780.266625943355,-1775129.0,1399-07-02
