,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1102,2016-01-19,24995,216,0,1,10372234,4627766,0,15000000,136913488800,61086511200,0,198000000000,13200.0,,13200.0,13200.0,10372234.0,1394-10-29
1101,2016-01-20,3,0,80,0,25544,0,25544,0,354039840,0,354039840,0,13860.0,13860.0,,,0.0,1394-10-30
1100,2016-01-23,31,1,406,3,244828,10000,163828,91000,3562981884,145530000,2384188884,1324323000,14553.0,14553.0,14553.0,14553.0,81000.0,1394-11-03
1099,2016-01-24,85,2,960,7,405215,20000,386155,39060,6191685200,305600000,5900448400,596836800,15280.0,15280.0,15280.0,15280.0,19060.0,1394-11-04
1098,2016-01-25,150,0,1475,9,799383,0,646483,152900,12825300852,0,10372173252,2453127600,16044.0,16044.0,,16044.0,152900.0,1394-11-05
1097,2016-01-26,480,15,6825,72,3426331,1789000,3580041,1635290,57711156198,30135874065,60299204123,27547826140,16843.427035508244,16843.16021045569,16845.09450251537,16845.835380880457,-153710.0,1394-11-06
1096,2016-01-27,480,16,7310,35,2216043,2469382,4034454,650971,37168449111,41581962680,67785541717,10964870074,16772.440386310194,16801.66429385488,16839.015867127888,16843.868734551925,-1818411.0,1394-11-07
1095,2016-01-30,205,11,1577,17,667864,641004,940118,368750,10970306544,10495111962,15410980180,6054438326,16425.958794005965,16392.601971241907,16372.927410749387,16418.815799322034,-272254.0,1394-11-10
1094,2016-01-31,120,13,1227,14,507892,748567,1053009,203450,8415462294,12398531772,17478326009,3335668057,16569.393284399044,16598.458331315305,16563.022110245307,16395.517606291472,-545117.0,1394-11-11
1093,2016-02-01,79,11,702,5,435729,576862,880668,131923,7505836833,9959019980,15221327893,2243528920,17225.929036166974,17283.84350629295,17264.128994456212,17006.351583878473,-444939.0,1394-11-12
1092,2016-02-02,177,13,710,12,1328470,1331142,1911835,747777,24022515936,24077378640,34561654678,13538239898,18082.8441259494,18077.73928084798,18087.76121555777,18104.64870944145,-583365.0,1394-11-13
1091,2016-02-03,73,6,313,3,149026,274186,358446,64766,2678612743,4946555989,6454408429,1170760303,17974.13030612108,18006.640969630014,18040.87732050506,18076.77335330266,-209420.0,1394-11-14
1090,2016-02-06,68,9,266,4,222210,348844,435456,135598,4028123778,6373293384,7929300898,2472116264,18127.554016470905,18209.18967243533,18269.752049626768,18231.214796678418,-213246.0,1394-11-17
1089,2016-02-07,62,9,221,13,342015,667980,769652,240343,6300633690,12319735239,14187478912,4432890017,18422.0975395816,18433.628330726093,18443.269617353813,18444.015498683133,-427637.0,1394-11-18
1088,2016-02-08,84,5,428,11,987546,275679,733323,529902,18386772537,5104567705,13601993309,9889346933,18618.64919406286,18548.434058389004,18516.34584063349,18662.59597623712,254223.0,1394-11-19
1087,2016-02-09,60,8,277,8,469475,685896,766571,388800,9141379304,13359546906,14950960449,7549965761,19471.49327227222,19503.68648044343,19477.51103082683,19418.636216563787,-297096.0,1394-11-20
1086,2016-02-10,104,5,152,9,229635,862476,534640,557471,4559700075,17146636824,10599356426,11106980473,19856.29401005944,19825.221506060152,19880.71183893813,19923.87132783589,-305005.0,1394-11-21
1085,2016-02-13,122,2,129,10,168966,526399,402149,293216,3384944155,10507059221,8049753434,5842249942,20033.285720204065,20016.84309546959,19960.2568032994,19924.731058332425,-233183.0,1394-11-24
1084,2016-02-14,55,2,104,8,88426,341259,257584,172101,1783566622,6882697585,5194543867,3471720340,20170.16060887069,20166.407335082924,20168.54525448413,20172.575057669623,-169158.0,1394-11-25
1083,2016-02-15,326,5,166,6,652952,191272,266495,577729,13733535098,4011401424,5574281665,12170654857,21032.99338695647,20917.0215763898,20972.23547618052,21066.373432872508,386457.0,1394-11-26
1082,2016-02-16,109,2,140,6,128671,532980,206458,455193,2743935814,11315703129,4393575209,9666063734,21325.207809063424,21280.721546270917,21231.00891027806,21235.0887074274,-77787.0,1394-11-27
1081,2016-02-17,62,2,214,5,70078,390235,203048,257265,1497126073,8332564510,4336400329,5493290254,21363.71005165673,21356.528155904023,21352.683664971108,21352.65292208423,-132970.0,1394-11-28
1080,2016-02-20,56,3,140,10,56793,769599,263592,562800,1222015942,16517921318,5661763815,12078173445,21517.01692109943,21479.27029272512,21463.0233641156,21460.862553304905,-206799.0,1394-12-01
1079,2016-02-21,49,1,101,5,61386,700000,246896,514490,1298820388,15058121198,5306470350,11050471236,21158.250871534223,21492.735200246258,21511.60171142857,21478.49566755428,-185510.0,1394-12-02
1078,2016-02-22,41,1,151,4,41763,222396,226217,37942,904734036,4805913774,4889439234,821208576,21663.53078083471,21613.93367430388,21609.71318728754,21643.78725423014,-184454.0,1394-12-03
1077,2016-02-23,37,1,88,2,41831,648695,638610,51916,897083998,13800761784,13574286102,1123559680,21445.435155745738,21255.98738197021,21274.65416567108,21641.876878033745,-596779.0,1394-12-04
1076,2016-02-24,31,3,87,1,17470,89849,100119,7200,365082768,1875779703,2090677671,150184800,20897.69708070979,20881.927216612232,20877.023706440807,20859.0,-82649.0,1394-12-05
1075,2016-02-27,15,2,39,1,16664,129013,136677,9000,344756580,2687320807,2844868387,187209000,20688.70499279885,20814.536366762517,20829.845108632464,20801.0,-120013.0,1394-12-08
1074,2016-02-28,44,4,132,3,57982,621001,608702,70281,1160680707,12460690072,12206464599,1414906180,20017.94879445345,20053.268428557814,20065.491153798463,20132.129309486205,-550720.0,1394-12-09
