,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
152,2014-09-02,166,0,85,0,770904,0,770904,0,7648642839,0,7648642839,0,9921.654108682793,9921.654108682793,,,0.0,1393-06-11
151,2014-09-03,58,0,70,0,225467,0,225467,0,2175353353,0,2175353353,0,9648.211724997447,9648.211724997447,,,0.0,1393-06-12
150,2014-09-06,46,0,51,0,224417,0,224417,0,2048246834,0,2048246834,0,9126.968251068323,9126.968251068323,,,0.0,1393-06-15
149,2014-09-07,19,0,29,0,100049,0,100049,0,880153281,0,880153281,0,8797.222171136144,8797.222171136144,,,0.0,1393-06-16
148,2014-09-08,49,0,60,0,346243,0,346243,0,3142787181,0,3142787181,0,9076.825180581269,9076.825180581269,,,0.0,1393-06-17
147,2014-09-09,30,0,25,0,80447,0,80447,0,705685241,0,705685241,0,8772.051673772794,8772.051673772794,,,0.0,1393-06-18
146,2014-09-10,27,1,49,0,183244,3000,186244,0,1619127240,26088000,1645215240,0,8835.908624566153,8833.654990227873,8696.0,,-3000.0,1393-06-19
145,2014-09-13,41,1,19,0,161085,8000,169085,0,1398150638,68638000,1466788638,0,8679.583064841543,8674.859614986544,8579.75,,-8000.0,1393-06-22
144,2014-09-14,22,0,12,0,60080,0,60080,0,506041391,0,506041391,0,8422.792792942742,8422.792792942742,,,0.0,1393-06-23
143,2014-09-15,21,0,16,0,69375,0,69375,0,580257765,0,580257765,0,8364.075891891893,8364.075891891893,,,0.0,1393-06-24
142,2014-09-16,20,0,19,0,133407,0,133407,0,1096641631,0,1096641631,0,8220.2705330305,8220.2705330305,,,0.0,1393-06-25
141,2014-09-17,9,0,8,0,8490,0,8490,0,68357642,0,68357642,0,8051.547938751472,8051.547938751472,,,0.0,1393-06-26
140,2014-09-20,18,0,20,0,72787,0,72787,0,601326315,0,601326315,0,8261.452113701622,8261.452113701622,,,0.0,1393-06-29
139,2014-09-21,17,0,21,0,58120,0,58120,0,492994620,0,492994620,0,8482.35753613214,8482.35753613214,,,0.0,1393-06-30
138,2014-09-22,11,0,11,0,10038,0,10038,0,86030114,0,86030114,0,8570.443713887229,8570.443713887229,,,0.0,1393-06-31
137,2014-09-23,21,0,17,0,39789,0,39789,0,331382355,0,331382355,0,8328.49166855161,8328.49166855161,,,0.0,1393-07-01
136,2014-09-24,50,1,39,0,132805,6000,138805,0,1122146335,50985104,1173131439,0,8449.578969165317,8451.651158099492,8497.517333333333,,-6000.0,1393-07-02
135,2014-09-27,45,1,23,0,168952,3000,171952,0,1441489331,25206000,1466695331,0,8531.94594322648,8529.678811528798,8402.0,,-3000.0,1393-07-05
134,2014-09-28,37,0,19,0,144397,0,144397,0,1195645608,0,1195645608,0,8280.266265919652,8280.266265919652,,,0.0,1393-07-06
133,2014-09-29,12,0,16,0,37682,0,37682,0,303155242,0,303155242,0,8045.094262512605,8045.094262512605,,,0.0,1393-07-07
132,2014-09-30,13,0,21,0,151701,0,151701,0,1245359651,0,1245359651,0,8209.3041641123,8209.3041641123,,,0.0,1393-07-08
131,2014-10-01,6,1,7,0,8384,7740,16124,0,68382566,62856540,131239106,0,8156.317509541985,8139.364053584718,8121.0,,-7740.0,1393-07-09
130,2014-10-04,13,1,16,0,33623,11000,44623,0,272475652,89051000,361526652,0,8103.847128453737,8101.800685745019,8095.545454545455,,-11000.0,1393-07-12
129,2014-10-06,4,0,9,0,24484,0,24484,0,200882930,0,200882930,0,8204.661411534064,8204.661411534064,,,0.0,1393-07-14
128,2014-10-07,13,1,13,0,38218,10000,48218,0,308832845,81110000,389942845,0,8080.821733214716,8087.080447135924,8111.0,,-10000.0,1393-07-15
127,2014-10-08,14,0,10,0,62621,0,62621,0,499166829,0,499166829,0,7971.236949266221,7971.236949266221,,,0.0,1393-07-16
126,2014-10-11,10,0,11,0,36865,0,36865,0,294127525,0,294127525,0,7978.503322935033,7978.503322935033,,,0.0,1393-07-19
125,2014-10-12,26,1,14,0,71645,10000,81645,0,560975887,77150000,638125887,0,7829.937706748552,7815.859966930002,7715.0,,-10000.0,1393-07-20
124,2014-10-14,19,2,35,0,157757,16024,173781,0,1280669615,133119265,1413788880,0,8117.989154205518,8135.46291021458,8307.492823265102,,-16024.0,1393-07-22
123,2014-10-15,32,4,56,0,203908,29966,233874,0,1769381738,261339237,2030720975,0,8677.35320830963,8682.970210455202,8721.191917506507,,-29966.0,1393-07-23
122,2014-10-18,25,0,34,0,100312,0,100312,0,889040265,0,889040265,0,8862.750867294042,8862.750867294042,,,0.0,1393-07-26
121,2014-10-19,28,0,25,0,120364,0,120364,0,1039951792,0,1039951792,0,8640.05676115782,8640.05676115782,,,0.0,1393-07-27
120,2014-10-20,34,0,43,3,218549,0,206614,11935,1983306161,0,1875633351,107672810,9074.880969485104,9077.958662046134,,9021.601173020528,11935.0,1393-07-28
119,2014-10-21,18,0,14,1,44679,0,37161,7518,386988619,0,321113019,65875600,8661.5326887352,8641.129652054573,,8762.383612662943,7518.0,1393-07-29
118,2014-10-22,18,0,31,1,84934,0,83363,1571,751848037,0,737864566,13983471,8852.144453340241,8851.223756342742,,8901.0,1571.0,1393-07-30
117,2014-10-25,16,2,51,1,156893,81863,233756,5000,1444142163,757830665,2155472828,46500000,9204.630945931303,9221.037440750184,9257.303849113763,9300.0,-76863.0,1393-08-03
116,2014-10-26,19,1,22,0,47780,26989,74769,0,424958578,243458283,668416861,0,8894.068187526162,8939.759271890756,9020.648523472526,,-26989.0,1393-08-04
115,2014-10-27,21,1,26,0,59800,84587,144387,0,526343928,750241380,1276585308,0,8801.737926421405,8841.414448669202,8869.46433849173,,-84587.0,1393-08-05
114,2014-10-28,16,1,36,0,66761,100000,166761,0,583192111,884846435,1468038546,0,8735.520902922364,8803.248637271305,8848.46435,,-100000.0,1393-08-06
113,2014-10-29,43,0,54,1,395594,0,381846,13748,3517324325,0,3395791925,121532400,8891.247908208921,8893.09283061758,,8840.005819028222,13748.0,1393-08-07
112,2015-02-08,2,1,0,1,18000,334018,0,352018,147600000,2738947600,0,2886547600,8200.0,,8200.0,8200.0,18000.0,1393-11-19
111,2018-02-14,24,5,33,2,100851,151896,172787,79960,511426637,783571940,878923278,416075299,5071.111213572498,5086.744245805529,5158.608126612946,5203.543009004502,-71936.0,1396-11-25
