,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
633,2013-10-30,40,0,37,1,719964,0,558000,161964,719964000,0,558000000,161964000,1000.0,1000.0,,1000.0,161964.0,1392-08-08
632,2013-12-11,1,0,1,0,45000,0,45000,0,45000000,0,45000000,0,1000.0,1000.0,,,0.0,1392-09-20
631,2014-03-04,8,0,8,0,230000,0,230000,0,234830000,0,234830000,0,1021.0,1021.0,,,0.0,1392-12-13
630,2014-03-10,1,0,2,0,40000,0,40000,0,40800000,0,40800000,0,1020.0,1020.0,,,0.0,1392-12-19
629,2014-05-17,25,0,22,1,1050500,0,1045500,5000,1050500000,0,1045500000,5000000,1000.0,1000.0,,1000.0,5000.0,1393-02-27
628,2014-05-21,4,0,4,1,79285,0,49285,30000,79285000,0,49285000,30000000,1000.0,1000.0,,1000.0,30000.0,1393-02-31
627,2014-05-25,1,0,2,0,5000,0,5000,0,5000000,0,5000000,0,1000.0,1000.0,,,0.0,1393-03-04
626,2014-05-26,0,1,0,1,0,581284,0,581284,0,581284000,0,581284000,,,1000.0,1000.0,0.0,1393-03-05
625,2014-07-06,1,0,1,0,3114,0,3114,0,3114000,0,3114000,0,1000.0,1000.0,,,0.0,1393-04-15
624,2014-08-26,7,0,10,0,134000,0,134000,0,134000000,0,134000000,0,1000.0,1000.0,,,0.0,1393-06-04
623,2014-09-09,2,0,0,1,1102800,0,0,1102800,1323360000,0,0,1323360000,1200.0,,,1200.0,1102800.0,1393-06-18
622,2014-10-14,5,0,6,0,100000,0,100000,0,120000000,0,120000000,0,1200.0,1200.0,,,0.0,1393-07-22
621,2014-10-15,1,0,1,0,20000,0,20000,0,24000000,0,24000000,0,1200.0,1200.0,,,0.0,1393-07-23
620,2014-11-23,4,0,8,0,79000,0,79000,0,92800000,0,92800000,0,1174.6835443037974,1174.6835443037974,,,0.0,1393-09-02
619,2014-12-06,4,0,10,1,217596,0,174000,43596,252396000,0,208800000,43596000,1159.9294104671042,1200.0,,1000.0,43596.0,1393-09-15
618,2014-12-16,1,0,1,0,10000,0,10000,0,12000000,0,12000000,0,1200.0,1200.0,,,0.0,1393-09-25
617,2015-01-19,4,0,3,1,65293,0,55293,10000,78351600,0,66351600,12000000,1200.0,1200.0,,1200.0,10000.0,1393-10-29
616,2015-01-26,1,0,1,0,1500,0,1500,0,1800000,0,1800000,0,1200.0,1200.0,,,0.0,1393-11-06
615,2015-06-23,6,0,9,0,52928,0,52928,0,63513600,0,63513600,0,1200.0,1200.0,,,0.0,1394-04-02
614,2016-05-10,8,0,7,0,86567,0,86567,0,103880400,0,103880400,0,1200.0,1200.0,,,0.0,1395-02-21
613,2016-11-02,1,0,1,0,1007,0,1007,0,1208400,0,1208400,0,1200.0,1200.0,,,0.0,1395-08-12
612,2017-01-14,2,0,1,0,200,0,200,0,244000,0,244000,0,1220.0,1220.0,,,0.0,1395-10-25
611,2017-02-13,1,0,1,0,10000,0,10000,0,12000000,0,12000000,0,1200.0,1200.0,,,0.0,1395-11-25
610,2017-04-09,1,0,1,0,90,0,90,0,108000,0,108000,0,1200.0,1200.0,,,0.0,1396-01-20
609,2017-04-24,2,0,1,0,12900,0,12900,0,17028000,0,17028000,0,1320.0,1320.0,,,0.0,1396-02-04
608,2017-04-26,2,0,2,0,28450,0,28450,0,37608000,0,37608000,0,1321.8980667838314,1321.8980667838314,,,0.0,1396-02-06
607,2017-04-29,2,0,2,0,4600,0,4600,0,6540500,0,6540500,0,1421.8478260869565,1421.8478260869565,,,0.0,1396-02-09
606,2017-05-01,3,0,2,0,9900,0,9900,0,15483600,0,15483600,0,1564.0,1564.0,,,0.0,1396-02-11
605,2017-05-02,2,0,1,0,10000,0,10000,0,15640000,0,15640000,0,1564.0,1564.0,,,0.0,1396-02-12
604,2017-05-22,1,0,1,0,18000,0,18000,0,27900000,0,27900000,0,1550.0,1550.0,,,0.0,1396-03-01
