,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
394,2019-03-30,18,0,30,0,659331,0,659331,0,3032263269,0,3032263269,0,4599.0,4599.0,,,0.0,1398-01-10
393,2019-04-08,35,0,23,0,481521,0,481521,0,2152855800,0,2152855800,0,4470.948930576236,4470.948930576236,,,0.0,1398-01-19
392,2019-04-10,74,0,66,0,859951,0,859951,0,3641633520,0,3641633520,0,4234.698860749043,4234.698860749043,,,0.0,1398-01-21
391,2019-04-13,6,0,25,0,137873,0,137873,0,597489020,0,597489020,0,4333.618765095414,4333.618765095414,,,0.0,1398-01-24
390,2019-04-15,27,0,28,1,228988,0,228707,281,992876480,0,991665370,1211110,4335.932363267944,4335.964224969065,,4310.0,281.0,1398-01-26
389,2019-04-17,20,0,53,0,638935,0,638935,0,2867363794,0,2867363794,0,4487.723780979286,4487.723780979286,,,0.0,1398-01-28
388,2019-04-20,30,0,50,0,261562,0,261562,0,1421064000,0,1421064000,0,5432.991030807228,5432.991030807228,,,0.0,1398-01-31
387,2019-04-22,52,0,34,0,455523,0,455523,0,2735152460,0,2735152460,0,6004.422301398612,6004.422301398612,,,0.0,1398-02-02
386,2019-04-24,1,0,3,0,10000,0,10000,0,59860000,0,59860000,0,5986.0,5986.0,,,0.0,1398-02-04
385,2019-04-27,65,0,41,0,636394,0,636394,0,3697771378,0,3697771378,0,5810.50634983988,5810.50634983988,,,0.0,1398-02-07
384,2019-04-29,51,0,43,0,638217,0,638217,0,4001620590,0,4001620590,0,6270.0,6270.0,,,0.0,1398-02-09
383,2019-05-01,34,0,31,0,248759,0,248759,0,1616684741,0,1616684741,0,6499.0,6499.0,,,0.0,1398-02-11
382,2019-05-04,18,0,17,0,112135,0,112135,0,721924280,0,721924280,0,6437.992419851073,6437.992419851073,,,0.0,1398-02-14
381,2019-05-06,8,0,7,0,32275,0,32275,0,208096750,0,208096750,0,6447.614252517428,6447.614252517428,,,0.0,1398-02-16
380,2019-05-11,5,0,10,0,31823,0,31823,0,187755700,0,187755700,0,5900.0,5900.0,,,0.0,1398-02-21
379,2019-05-13,19,0,11,0,126068,0,126068,0,644275140,0,644275140,0,5110.536694482343,5110.536694482343,,,0.0,1398-02-23
378,2019-05-15,40,0,23,0,315734,0,315734,0,1704963600,0,1704963600,0,5400.0,5400.0,,,0.0,1398-02-25
377,2019-05-18,7,0,11,0,123869,0,123869,0,780126962,0,780126962,0,6298.0,6298.0,,,0.0,1398-02-28
