,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
130,2012-09-09,1,0,1,0,10000,0,10000,0,1500000,0,1500000,0,150.0,150.0,,,0.0,1391-06-19
129,2012-09-10,2,0,2,0,3000,0,3000,0,437000,0,437000,0,145.66666666666666,145.66666666666666,,,0.0,1391-06-20
128,2012-09-11,1,0,2,0,70000,0,70000,0,9450000,0,9450000,0,135.0,135.0,,,0.0,1391-06-21
127,2012-09-15,3,0,1,0,181000,0,181000,0,24435000,0,24435000,0,135.0,135.0,,,0.0,1391-06-25
126,2012-09-16,2,0,1,0,12000,0,12000,0,1620000,0,1620000,0,135.0,135.0,,,0.0,1391-06-26
125,2012-09-17,1,0,1,0,1000,0,1000,0,135000,0,135000,0,135.0,135.0,,,0.0,1391-06-27
124,2012-09-18,1,0,1,0,5000,0,5000,0,625000,0,625000,0,125.0,125.0,,,0.0,1391-06-28
123,2012-09-26,3,0,3,0,6317,0,6317,0,847795,0,847795,0,134.20848504036726,134.20848504036726,,,0.0,1391-07-05
122,2012-09-29,3,0,4,0,170000,0,170000,0,24280000,0,24280000,0,142.8235294117647,142.8235294117647,,,0.0,1391-07-08
121,2012-09-30,2,0,2,0,95527,0,95527,0,14711158,0,14711158,0,154.0,154.0,,,0.0,1391-07-09
120,2012-10-01,8,0,4,0,219767,0,219767,0,36481322,0,36481322,0,166.0,166.0,,,0.0,1391-07-10
119,2012-10-02,6,0,6,0,145284,0,145284,0,25911390,0,25911390,0,178.34992153299743,178.34992153299743,,,0.0,1391-07-11
118,2012-10-03,11,0,8,0,231576,0,231576,0,44455092,0,44455092,0,191.9676132241683,191.9676132241683,,,0.0,1391-07-12
117,2012-10-06,5,0,4,0,23120,0,23120,0,4330700,0,4330700,0,187.31401384083048,187.31401384083048,,,0.0,1391-07-15
116,2012-10-07,3,0,5,0,105669,0,105669,0,18480897,0,18480897,0,174.8942168469466,174.8942168469466,,,0.0,1391-07-16
115,2012-10-08,7,0,6,0,10882,0,10882,0,1753112,0,1753112,0,161.10200330821542,161.10200330821542,,,0.0,1391-07-17
114,2012-10-09,4,0,7,0,28120,0,28120,0,4633000,0,4633000,0,164.75817923186344,164.75817923186344,,,0.0,1391-07-18
113,2012-10-10,6,0,5,0,38500,0,38500,0,6359300,0,6359300,0,165.17662337662338,165.17662337662338,,,0.0,1391-07-19
112,2013-05-22,11,1,0,1,3250000,750000,0,4000000,4235106400,975000000,0,5210106400,1303.1096615384615,,1300.0,1302.5266,3250000.0,1392-03-01
111,2013-05-25,11,2,0,1,1030200,1469800,0,2500000,1449491400,2068008600,0,3517500000,1407.0,,1407.0,1407.0,1030200.0,1392-03-04
110,2013-05-26,12,1,0,1,1076435,2923565,0,4000000,1635104765,4440895235,0,6076000000,1519.0,,1519.0,1519.0,1076435.0,1392-03-05
109,2013-05-27,12,1,0,1,1556320,1291003,0,2847323,2552364800,2117244920,0,4669609720,1640.0,,1640.0,1640.0,1556320.0,1392-03-06
108,2015-08-29,27,0,54,0,370065,0,370065,0,420762905,0,420762905,0,1136.997297772013,1136.997297772013,,,0.0,1394-06-07
107,2015-08-30,78,0,162,3,3512050,0,2438177,1073873,4270742140,0,2963844656,1306897484,1216.025438134423,1215.5986443970228,,1216.99445278911,1073873.0,1394-06-08
106,2015-08-31,31,1,49,1,526004,79466,526004,79466,629230470,92577890,629230470,92577890,1196.2465494558976,1196.2465494558976,1165.0,1165.0,0.0,1394-06-09
105,2015-09-01,29,0,28,1,774480,0,738762,35718,866393175,0,826697024,39696151,1118.6772737837,1119.0302479012184,,1111.3766448289375,35718.0,1394-06-10
104,2015-09-02,11,0,23,0,238861,0,238861,0,270435851,0,270435851,0,1132.1892272074554,1132.1892272074554,,,0.0,1394-06-11
103,2015-09-05,13,0,94,2,1995558,0,1885549,110009,2404640427,0,2271145246,133495181,1204.9965107503765,1204.5007825307111,,1213.493268732558,110009.0,1394-06-14
102,2015-09-06,41,0,60,0,1188308,0,1188308,0,1486373939,0,1486373939,0,1250.8322244737897,1250.8322244737897,,,0.0,1394-06-15
101,2015-09-07,26,0,25,1,362278,0,362270,8,433547227,0,433537627,9600,1196.7252413892095,1196.725169072791,,1200.0,8.0,1394-06-16
100,2015-09-08,20,0,20,0,445926,0,445926,0,523099624,0,523099624,0,1173.0637460027,1173.0637460027,,,0.0,1394-06-17
99,2015-09-09,14,0,19,0,389666,0,389666,0,452789601,0,452789601,0,1161.9941206058522,1161.9941206058522,,,0.0,1394-06-18
98,2015-09-12,9,0,22,0,661473,0,661473,0,760324000,0,760324000,0,1149.4407179129005,1149.4407179129005,,,0.0,1394-06-21
97,2015-09-13,23,0,27,0,361449,0,361449,0,396507248,0,396507248,0,1096.9936228900897,1096.9936228900897,,,0.0,1394-06-22
96,2015-09-14,14,0,20,0,185043,0,185043,0,204369787,0,204369787,0,1104.44484255011,1104.44484255011,,,0.0,1394-06-23
95,2015-09-15,18,0,14,0,298476,0,298476,0,322209153,0,322209153,0,1079.5144433723317,1079.5144433723317,,,0.0,1394-06-24
94,2015-09-16,16,0,21,0,104783,0,104783,0,110070691,0,110070691,0,1050.4632526268574,1050.4632526268574,,,0.0,1394-06-25
93,2015-09-19,11,0,21,0,126496,0,126496,0,138543497,0,138543497,0,1095.240141980774,1095.240141980774,,,0.0,1394-06-28
92,2015-09-20,23,0,22,0,433022,0,433022,0,431923393,0,431923393,0,997.462930289916,997.462930289916,,,0.0,1394-06-29
91,2015-09-21,7,0,9,1,90287,0,89434,853,85672198,0,84886585,785613,948.887414577957,949.1533980365408,,921.0,853.0,1394-06-30
90,2015-09-22,12,0,20,0,234693,0,234693,0,233527306,0,233527306,0,995.033111341199,995.033111341199,,,0.0,1394-06-31
