date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-05-09,222,0,4,1,823382,0,123582,699800,115273480000,0,17301480000,97972000000,140000.0,140000.0,,140000.0,699800.0,1399-02-20
2020-05-10,25,1,319,0,811817,200000,1011817,0,115927467600,28560000000,144487467600,0,142800.0,142800.0,142800.0,,-200000.0,1399-02-21
2020-05-11,22,0,166,0,486424,0,486424,0,70850574144,0,70850574144,0,145656.0,145656.0,,,0.0,1399-02-22
2020-05-12,153,7,285,1,5394248,724000,1118248,5000000,801418031112,107563956000,166136987112,742845000000,148569.0,148569.0,148569.0,148569.0,4276000.0,1399-02-23
2020-05-13,909,0,299,1,1264204,0,1264167,37,195333424244,0,195327707337,5716907,154511.0,154511.0,,154511.0,37.0,1399-02-24
2020-05-16,62,0,188,0,474046,0,474046,0,74710123646,0,74710123646,0,157601.0,157601.0,,,0.0,1399-02-27
2020-05-17,14,0,197,1,261575,0,255682,5893,42048965975,0,41101648546,947317429,160753.0,160753.0,,160753.0,5893.0,1399-02-28
2020-05-18,58,1,170,0,549325,20000,569325,0,90071721600,3279360000,93351081600,0,163968.0,163968.0,163968.0,,-20000.0,1399-02-29
2020-05-19,10,0,215,0,328500,0,328500,0,56017791000,0,56017791000,0,170526.0,170526.0,,,0.0,1399-02-30
2020-05-20,26,0,213,0,469479,0,469479,0,81659299344,0,81659299344,0,173936.0,173936.0,,,0.0,1399-02-31
2020-05-23,4555,15,517,2,12187421,1456600,5444021,8200000,2162203460163,258421232383,965829892546,1454794800000,177412.71596041523,177411.12544312375,177413.999988329,177414.0,6743400.0,1399-03-03
2020-05-26,2577,1,70,0,1412068,50,1412118,0,245509202820,8693250,245517896070,0,173865.0,173865.0,173865.0,,-50.0,1399-03-06
2020-05-27,1524,2,14,0,634053,57662,691715,0,108035022564,9824912856,117859935420,0,170388.0,170388.0,170388.0,,-57662.0,1399-03-07
2020-05-30,1686,4,22,2,592753,320453,513206,400000,98978488693,53509562393,85695651086,66792400000,166981.0,166981.0,166981.0,166981.0,79547.0,1399-03-10
2020-05-31,1170,2,12,0,493918,654,494572,0,79176043236,104837508,79280880744,0,160302.0,160302.0,160302.0,,-654.0,1399-03-11
2020-06-01,645,0,17,0,244439,0,244439,0,38400389144,0,38400389144,0,157096.0,157096.0,,,0.0,1399-03-12
2020-06-02,1316,1,53,1,578790,5000,383790,200000,89107614450,769775000,59086389450,30791000000,153955.0,153955.0,153955.0,153955.0,195000.0,1399-03-13
2020-06-06,471,1,1205,0,2507040,400000,2907040,0,393690519360,62813600000,456504119360,0,157034.0,157034.0,157034.0,,-400000.0,1399-03-17
2020-06-07,88,35,590,2,863926,574130,1383056,55000,138378483124,91960698620,221529611744,8809570000,160174.0,160174.0,160174.0,160174.0,-519130.0,1399-03-18
2020-06-08,6778,42,1739,0,7257834,621660,7879494,0,1163888879656,100955220728,1264844100384,0,160363.1165518528,160523.5184370976,162396.19844931312,,-621660.0,1399-03-19
2020-06-09,3663,31,1062,1,2478143,138517,2576660,40000,394367676038,21790930338,409665563585,6493042791,159138.3854918784,158990.92762917886,157315.92756123797,162326.069775,-98517.0,1399-03-20
2020-06-10,3448,2,756,1,1797351,15000,1662351,150000,281592068449,2337930000,260550698449,23379300000,156670.60493415032,156736.2719720444,155862.0,155862.0,135000.0,1399-03-21
2020-06-13,2193,4,346,0,1180944,15333,1196277,0,181311513264,2354090823,183665604087,0,153531.0,153531.0,153531.0,,-15333.0,1399-03-24
2020-06-14,1252,2,22,0,465088,5436,470524,0,69977605568,817905996,70795511564,0,150461.0,150461.0,150461.0,,-5436.0,1399-03-25
2020-06-15,3742,9,3037,3,8942285,929266,9747551,124000,1354442621624,144537422091,1480539527715,18440516000,151464.93559800432,151888.35921094436,155539.34190102725,148713.83870967742,-805266.0,1399-03-26
2020-06-16,38,2,575,2,795993,316878,1105437,7434,123286579812,49079332152,171214504308,1151407656,154884.0,154884.0,154884.0,154884.0,-309444.0,1399-03-27
2020-06-20,267,0,760,1,1220317,0,1215317,5000,192786899977,0,191996994977,789905000,157981.0,157981.0,,157981.0,5000.0,1399-03-31
2020-06-21,3205,10,1629,4,3793622,275075,3992697,76000,610879337277,44243049286,642875746563,12246640000,161027.99310975106,161012.90595379515,160839.95014450603,161140.0,-199075.0,1399-04-01
2020-06-22,3095,12,1894,2,4138748,384301,4518466,4583,687053671683,63687383910,749973609328,767446265,166005.19569758777,165979.69517265374,165722.65986817624,167455.0,-379718.0,1399-04-02
2020-06-23,2268,1,1305,1,2043916,47030,2070946,20000,345592979641,7962179000,350169158641,3386000000,169083.74886296698,169086.57137414496,169300.0,169300.0,-27030.0,1399-04-03
2020-06-24,2996,9,1597,2,2632059,726826,3284471,74414,442341988776,121859823548,551694428704,12507383620,168059.2983576736,167970.5586391233,167660.24268256777,168078.36724272315,-652412.0,1399-04-04
2020-06-27,2571,7,882,53,2359927,124406,2050599,433734,389326612513,20504749284,338432673121,71398688676,164974.0066167301,165040.8846980809,164821.2247319261,164614.0,309328.0,1399-04-07
2020-06-28,966,2,16,0,471453,12000,483453,0,76218392151,1940004000,78158396151,0,161667.0,161667.0,161667.0,,-12000.0,1399-04-08
2020-06-29,982,2,23,1,434914,100568,475482,60000,68905164676,15933390512,75332515188,9506040000,158434.0,158434.0,158434.0,158434.0,-40568.0,1399-04-09
2020-06-30,5423,10,4090,4,7176388,463854,7503094,137148,1132843517771,74104351485,1185027332849,21920536407,157857.0609296766,157938.4894883364,159757.9227192177,159831.2509624639,-326706.0,1399-04-10
2020-07-01,1068,2,2398,2,3034177,150000,3047299,136878,488624486365,24169650000,490754158365,22039978000,161040.20509185852,161045.62052000806,161131.0,161019.14113297974,-13122.0,1399-04-11
2020-07-04,2072,14,2705,1,4150015,2261176,6391191,20000,681601583585,371295235903,1049611539488,3285280000,164240.7518008971,164227.84728042083,164204.48293410154,164264.0,-2241176.0,1399-04-14
2020-07-05,672,1,976,0,1196763,2400,1199163,0,200472163656,402028800,200874192456,0,167512.0,167512.0,167512.0,,-2400.0,1399-04-15
