date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-06-19,25086,303,0,1,74057777,25942223,0,100000000,79982399160,28017600840,0,108000000000,1080.0,,1080.0,1080.0,74057777.0,1395-03-30
2016-06-20,2043,7,10017,138,42178496,9765400,37735826,14208070,46111620735,10669108072,41236931400,15543797407,1093.249525421675,1092.7793497881828,1092.5418387367645,1094.011882472426,4442670.0,1395-03-31
2016-06-21,617,3,3529,32,18194522,3201207,18743629,2652100,19969566576,3515273182,20565815324,2919024434,1097.559286031257,1097.2163034170171,1098.1086765085795,1100.6464439500774,-549107.0,1395-04-01
2016-06-22,226,0,897,31,10438763,0,7275763,3163000,12023879005,0,8380135005,3643744000,1151.8490270351,1151.7877925655357,,1151.989883022447,3163000.0,1395-04-02
2016-06-25,651,4,2361,26,26581466,1169010,26286763,1463713,31949999230,1375307085,31556819249,1768487066,1201.9652802445132,1200.4832717135998,1176.4716170092645,1208.2198258811666,294703.0,1395-04-05
2016-06-26,451,2,2625,21,21193824,100798,20420684,873938,25835444369,122852926,24888801821,1069495474,1219.008158650369,1218.8035337601816,1218.8032103811584,1223.7658438012766,773140.0,1395-04-06
2016-06-28,539,1,980,11,14729943,50000,13477343,1302600,18230586327,60970000,16640177709,1651378618,1237.6549133285853,1234.6779115883598,1219.4,1267.7557331490864,1252600.0,1395-04-08
2016-06-29,310,3,623,4,9555148,545225,10028773,71600,11284975144,641880725,11842270372,84585497,1181.036143448537,1180.8294366618927,1177.2767664725573,1181.361689944134,-473625.0,1395-04-09
2016-07-02,179,0,598,7,6602555,0,5347755,1254800,7933113047,0,6421759908,1511353139,1201.5216907697095,1200.832855656252,,1204.4573948039529,1254800.0,1395-04-12
2016-07-03,158,0,404,5,4109388,0,3868988,240400,4885524295,0,4601463559,284060736,1188.8690712582993,1189.3196771352095,,1181.617038269551,240400.0,1395-04-13
2016-07-04,179,0,204,1,3728565,0,3726215,2350,4294770841,0,4292044841,2726000,1151.8562345030864,1151.8510985007574,,1160.0,2350.0,1395-04-14
2016-07-05,81,1,235,5,3388103,10000,2136603,1261500,3930294418,11780000,2487261361,1454813057,1160.0280209899167,1164.1195678373567,1178.0,1153.2406317875543,1251500.0,1395-04-15
2016-07-09,89,0,144,1,1735711,0,1495711,240000,1965028075,0,1694792048,270236027,1132.117083431516,1133.1012795921138,,1125.9834458333332,240000.0,1395-04-19
2016-07-10,83,0,138,3,2446822,0,2440822,6000,2737112893,0,2730414893,6698000,1118.63997176746,1118.6456419189929,,1116.3333333333333,6000.0,1395-04-20
2016-07-11,87,0,136,10,2134525,0,2084525,50000,2359789110,0,2304539110,55250000,1105.5336011524812,1105.5464002590518,,1105.0,50000.0,1395-04-21
2016-07-12,75,1,182,1,2195376,1510000,3465376,240000,2405840108,1686339746,3829841505,262338349,1095.8669986371356,1105.1734371681457,1116.781288741722,1093.0764541666667,-1270000.0,1395-04-22
2016-07-13,49,1,178,2,684579,1423150,2096229,11500,762160657,1611754243,2361122894,12792006,1113.3275443739876,1126.3668683144829,1132.5259059129396,1112.3483478260869,-1411650.0,1395-04-23
2016-07-16,36,1,193,2,750317,1440000,2186317,4000,843232500,1661023714,2499723005,4533209,1123.8349924098748,1143.3488396238972,1153.4886902777778,1133.30225,-1436000.0,1395-04-26
2016-07-17,54,1,209,0,1312279,1712140,3024419,0,1495904243,1997569596,3493473839,0,1139.9285083431191,1155.089238296678,1166.7092620930532,,-1712140.0,1395-04-27
2016-07-18,52,1,100,0,604567,317950,922517,0,685168949,358563750,1043732699,0,1133.3217807124768,1131.3967103045256,1127.7362792891963,,-317950.0,1395-04-28
2016-07-19,55,5,99,0,818985,100457,919442,0,921273430,112459555,1033732985,0,1124.896585407547,1124.3047250397524,1119.4795285545058,,-100457.0,1395-04-29
2016-07-20,72,1,148,0,1704216,70781,1774997,0,1948692920,80460966,2029153886,0,1143.4541865585113,1143.1872200347382,1136.7593845806075,,-70781.0,1395-04-30
2016-07-23,121,1,88,1,1209630,100000,1297603,12027,1379966427,113500000,1479687539,13778888,1140.8169663450808,1140.3237654351908,1135.0,1145.662925085225,-87973.0,1395-05-02
2016-07-24,77,1,135,1,1392923,787200,2179323,800,1591771574,896552000,2487411574,912000,1142.7563289571642,1141.3689361329184,1138.9126016260163,1140.0,-786400.0,1395-05-03
2016-07-25,76,1,97,1,1702041,299000,1953068,47973,1936794010,337870000,2219538979,55125031,1137.9244154518017,1136.4371230289985,1130.0,1149.084505867884,-251027.0,1395-05-04
2016-07-26,62,1,222,0,1189917,1579250,2769167,0,1371696908,1838198214,3209895122,0,1152.7668803790516,1159.155486830516,1163.9691081209437,,-1579250.0,1395-05-05
