date,open,high,low,adjClose,value,volume,count,close,jdate
2019-04-09,8340.0,8340.0,8340.0,8340.0,13816369260,1656639,17,8340.0,1398-01-20
2019-04-13,9770.0,9770.0,9770.0,9347.0,390809770,40001,2,9770.0,1398-01-24
2019-09-14,14302.0,14970.0,14306.0,14273.0,224721672,15012,2,14970.0,1398-06-23
2019-09-23,14170.0,14390.0,14170.0,14390.0,19911565440,1383716,15,14390.0,1398-07-01
2019-09-30,14559.0,14559.0,14559.0,13866.0,7133910,490,1,14559.0,1398-07-08
2019-12-02,14270.0,13783.0,13783.0,14133.0,5074239016,368152,7,13783.0,1398-09-11
2019-12-04,15500.0,14617.0,14617.0,14953.0,5847881658,400074,7,14617.0,1398-09-13
2019-12-10,15070.0,14802.0,14802.0,15348.0,2960400000,200000,4,14802.0,1398-09-19
2019-12-16,18360.0,18360.0,18360.0,18049.0,7344000000,400000,16,18360.0,1398-09-25
2019-12-17,19150.0,19150.0,19150.0,18973.0,9575000000,500000,5,19150.0,1398-09-26
2020-01-19,23994.0,23994.0,23994.0,23994.0,27033224004,1126666,41,23994.0,1398-10-29
2020-02-19,47885.0,47885.0,47885.0,45651.0,239425000,5000,1,47885.0,1398-11-30
2020-06-08,83768.0,83768.0,83768.0,87822.0,4998771632,59674,2,83768.0,1399-03-19
2020-06-15,79510.0,79510.0,79510.0,83530.0,2244408280,28228,1,79510.0,1399-03-26
2020-07-26,67260.0,67260.0,67260.0,70790.0,33630000,500,1,67260.0,1399-05-05
2020-08-11,70080.0,70080.0,70080.0,72410.0,4555200000,65000,1,70080.0,1399-05-21
2021-01-23,40210.0,40210.0,40210.0,40210.0,763990,19,1,40210.0,1399-11-04
2021-04-18,32620.0,32620.0,31970.0,32410.0,32295000000,1000000,10,31970.0,1400-01-29
2021-04-19,31920.0,31920.0,31920.0,32520.0,3830400000,120000,3,31920.0,1400-01-30
2021-05-01,31470.0,31470.0,31470.0,32050.0,19442889810,617823,7,31470.0,1400-02-11
