date,open,high,low,adjClose,value,volume,count,close,jdate
2016-04-09,1000.0,1000.0,1000.0,1000.0,10047000,10047,2,1000.0,1395-01-21
2016-04-10,1000.0,1000.0,1000.0,1000.0,5047000,5047,1,1000.0,1395-01-22
2017-01-14,1000.0,1000.0,1000.0,1000.0,1925000,1925,1,1000.0,1395-10-25
2017-03-15,1100.0,1100.0,1100.0,1100.0,1069200,972,1,1100.0,1395-12-25
2018-08-25,1100.0,1100.0,1100.0,1100.0,207900,189,1,1100.0,1397-06-03
2018-10-13,1100.0,1100.0,1100.0,1100.0,44000,40,1,1100.0,1397-07-21
2018-10-29,2000.0,2000.0,2000.0,1110.0,2322000,1161,3,2000.0,1397-08-07
2018-11-14,1110.0,1110.0,1110.0,1110.0,6193800,5580,1,1110.0,1397-08-23
2018-11-26,1110.0,1110.0,1110.0,1110.0,6193800,5580,1,1110.0,1397-09-05
2019-06-22,7000.0,7000.0,7000.0,1145.0,4200000,600,3,7000.0,1398-04-01
2019-06-24,7000.0,7000.0,7000.0,1408.0,31500000,4500,2,7000.0,1398-04-03
2019-08-31,7000.0,7000.0,7000.0,1531.0,15414000,2202,5,7000.0,1398-06-09
2020-05-03,1607.0,1607.0,1607.0,1531.0,64280,40,1,1607.0,1399-02-14
2020-07-12,1576.0,1576.0,1576.0,1531.0,63040,40,1,1576.0,1399-04-22
2020-07-25,1576.0,1576.0,1576.0,1531.0,141840,90,3,1576.0,1399-05-04
2020-11-09,1607.0,1607.0,1607.0,1531.0,64280,40,1,1607.0,1399-08-19
2020-11-16,1576.0,1576.0,1576.0,1531.0,126080,80,2,1576.0,1399-08-26
2020-11-23,1576.0,1576.0,1576.0,1531.0,63040,40,1,1576.0,1399-09-03
2021-01-16,1607.0,1607.0,1607.0,1531.0,16070,10,1,1607.0,1399-10-27
2021-02-08,1607.0,1607.0,1607.0,1531.0,8035000,5000,1,1607.0,1399-11-20
